strategy,imdb-sakila,cprd_aurum-omop,cprd_gold-omop,omop-cms,mimic_iii-omop
coma gpt-4o,0.08,0.17,0.11,0.05,0.15
coma gpt-3.5-turbo,0.42,0.08,0.1,0.05,0.08
coma original,0.15,0.01,0.01,0.01,0.02
unicorn original,0.0,0.018,0.035,0.003,0.015
unicorn gpt-3.5-turbo,0.0,0.101,0.086,0.018,0.061
unicorn gpt-4o,0.0,0.101,0.079,0.011,0.026
rematch original gpt-4o,0.63,0.22,0.08,0.76,0.32
rematch original gpt-3.5-turbo,0.6,0.1,0.04,0.53,0.09
schema_understanding gpt-4o gpt-4o,0.86,0.32,0.22,0.65,0.56
schema_understanding gpt-3.5-turbo gpt-3.5-turbo,0.66,0.27,0.07,0.34,0.39
schema_understanding gpt-3.5-turbo gpt-4o,0.87,0.36,0.15,0.54,0.57
schema_understanding gpt-4o gpt-3.5-turbo,0.65,0.08,0.0,0.47,0.15
schema_understanding_no_reasoning gpt-3.5-turbo gpt-4o,0.77,0.34,0.24,0.62,0.59
schema_understanding_no_reasoning gpt-3.5-turbo gpt-3.5-turbo,0.66,0.29,0.01,0.43,0.16
schema_understanding_no_reasoning gpt-4o gpt-4o,0.8,0.34,0.19,0.48,0.51
schema_understanding_no_reasoning gpt-4o gpt-3.5-turbo,0.69,0.21,0.03,0.5,0.07
